1 graphs. These are undirected weighted graphs; all are reachable from vertex 0.

** G1: |V| = 200
(u, v) E = { 
      ( 0,  1, 0.79264)
      ( 0,  3, 0.15256)
      ( 0,  5, 0.70984)
      ( 0,  8, 0.33217)
      ( 0, 10, 0.62630)
      ( 0, 14, 0.28050)
      ( 0, 19, 0.83982)
      ( 0, 20, 0.38484)
      ( 0, 21, 0.70236)
      ( 0, 23, 0.92781)
      ( 0, 24, 0.42645)
      ( 0, 25, 0.23081)
      ( 0, 26, 0.04893)
      ( 0, 27, 0.24742)
      ( 0, 29, 0.02801)
      ( 0, 32, 0.79987)
      ( 0, 45, 0.81498)
      ( 0, 47, 0.05765)
      ( 0, 48, 0.89689)
      ( 0, 49, 0.65282)
      ( 0, 50, 0.15742)
      ( 0, 51, 0.58171)
      ( 0, 58, 0.93891)
      ( 0, 60, 0.17816)
      ( 0, 61, 0.50202)
      ( 0, 62, 0.55254)
      ( 0, 63, 0.85794)
      ( 0, 64, 0.01381)
      ( 0, 67, 0.61546)
      ( 0, 68, 0.69802)
      ( 0, 69, 0.70782)
      ( 0, 70, 0.82452)
      ( 0, 73, 0.42407)
      ( 0, 75, 0.05676)
      ( 0, 76, 0.83966)
      ( 0, 78, 0.92673)
      ( 0, 82, 0.27166)
      ( 0, 85, 0.99701)
      ( 0, 86, 0.87673)
      ( 0, 88, 0.10458)
      ( 0, 89, 0.93697)
      ( 0, 92, 0.78667)
      ( 0, 94, 0.36068)
      ( 0, 97, 0.18280)
      ( 0, 101, 0.84632)
      ( 0, 102, 0.51515)
      ( 0, 103, 0.10483)
      ( 0, 104, 0.00646)
      ( 0, 108, 0.60670)
      ( 0, 110, 0.89960)
      ( 0, 111, 0.10958)
      ( 0, 117, 0.05818)
      ( 0, 118, 0.20452)
      ( 0, 119, 0.58462)
      ( 0, 120, 0.52939)
      ( 0, 122, 0.36100)
      ( 0, 124, 0.73720)
      ( 0, 127, 0.43434)
      ( 0, 128, 0.44494)
      ( 0, 129, 0.88786)
      ( 0, 130, 0.92021)
      ( 0, 132, 0.41525)
      ( 0, 133, 0.33348)
      ( 0, 137, 0.80302)
      ( 0, 139, 0.55004)
      ( 0, 140, 0.69094)
      ( 0, 141, 0.44135)
      ( 0, 144, 0.92698)
      ( 0, 145, 0.96502)
      ( 0, 146, 0.51289)
      ( 0, 148, 0.44285)
      ( 0, 149, 0.52584)
      ( 0, 150, 0.85988)
      ( 0, 157, 0.50855)
      ( 0, 159, 0.40414)
      ( 0, 163, 0.23561)
      ( 0, 165, 0.93676)
      ( 0, 166, 0.46549)
      ( 0, 167, 0.89537)
      ( 0, 170, 0.35308)
      ( 0, 171, 0.49785)
      ( 0, 172, 0.42435)
      ( 0, 173, 0.40475)
      ( 0, 176, 0.25752)
      ( 0, 178, 0.32367)
      ( 0, 179, 0.21976)
      ( 0, 184, 0.62821)
      ( 0, 185, 0.42928)
      ( 0, 187, 0.04143)
      ( 0, 190, 0.87070)
      ( 0, 191, 0.09154)
      ( 0, 192, 0.50789)
      ( 0, 193, 0.94190)
      ( 0, 194, 0.37645)
      ( 0, 195, 0.10237)
      ( 0, 198, 0.27693)
      ( 1,  3, 0.43723)
      ( 1,  4, 0.37996)
      ( 1,  6, 0.91658)
      ( 1,  7, 0.15477)
      ( 1,  9, 0.11443)
      ( 1, 14, 0.49353)
      ( 1, 17, 0.21578)
      ( 1, 19, 0.33226)
      ( 1, 20, 0.01783)
      ( 1, 22, 0.27900)
      ( 1, 23, 0.61595)
      ( 1, 25, 0.99107)
      ( 1, 26, 0.57129)
      ( 1, 28, 0.90715)
      ( 1, 29, 0.77395)
      ( 1, 30, 0.93598)
      ( 1, 32, 0.19039)
      ( 1, 33, 0.21058)
      ( 1, 34, 0.66938)
      ( 1, 36, 0.26348)
      ( 1, 39, 0.48830)
      ( 1, 44, 0.48380)
      ( 1, 46, 0.35554)
      ( 1, 47, 0.35696)
      ( 1, 50, 0.53763)
      ( 1, 51, 0.30070)
      ( 1, 54, 0.46453)
      ( 1, 55, 0.44664)
      ( 1, 56, 0.04718)
      ( 1, 61, 0.95779)
      ( 1, 62, 0.40619)
      ( 1, 63, 0.45148)
      ( 1, 66, 0.68572)
      ( 1, 68, 0.91280)
      ( 1, 70, 0.91385)
      ( 1, 72, 0.68115)
      ( 1, 73, 0.80359)
      ( 1, 76, 0.64467)
      ( 1, 81, 0.27980)
      ( 1, 82, 0.53068)
      ( 1, 84, 0.82297)
      ( 1, 86, 0.70346)
      ( 1, 87, 0.13592)
      ( 1, 91, 0.36721)
      ( 1, 93, 0.74723)
      ( 1, 94, 0.11731)
      ( 1, 95, 0.64348)
      ( 1, 96, 0.21850)
      ( 1, 97, 0.78809)
      ( 1, 98, 0.42745)
      ( 1, 99, 0.34744)
      ( 1, 100, 0.38251)
      ( 1, 102, 0.61406)
      ( 1, 103, 0.69136)
      ( 1, 104, 0.63883)
      ( 1, 109, 0.21945)
      ( 1, 110, 0.87616)
      ( 1, 116, 0.13046)
      ( 1, 117, 0.65540)
      ( 1, 121, 0.79590)
      ( 1, 125, 0.00305)
      ( 1, 129, 0.86722)
      ( 1, 130, 0.32510)
      ( 1, 134, 0.64412)
      ( 1, 137, 0.03092)
      ( 1, 138, 0.88674)
      ( 1, 139, 0.94698)
      ( 1, 140, 0.35786)
      ( 1, 142, 0.61549)
      ( 1, 144, 0.30660)
      ( 1, 147, 0.05767)
      ( 1, 148, 0.55310)
      ( 1, 149, 0.54392)
      ( 1, 153, 0.86170)
      ( 1, 154, 0.96060)
      ( 1, 155, 0.47556)
      ( 1, 158, 0.24364)
      ( 1, 159, 0.78682)
      ( 1, 161, 0.79344)
      ( 1, 162, 0.48066)
      ( 1, 163, 0.58102)
      ( 1, 166, 0.47318)
      ( 1, 167, 0.06832)
      ( 1, 175, 0.62909)
      ( 1, 177, 0.63547)
      ( 1, 178, 0.17875)
      ( 1, 180, 0.96916)
      ( 1, 181, 0.33645)
      ( 1, 182, 0.35260)
      ( 1, 183, 0.32146)
      ( 1, 185, 0.24841)
      ( 1, 187, 0.11913)
      ( 1, 188, 0.79048)
      ( 1, 189, 0.50893)
      ( 1, 191, 0.62078)
      ( 1, 192, 0.94921)
      ( 1, 199, 0.81438)
      ( 2,  1, 0.99727)
      ( 2,  3, 0.92542)
      ( 2,  7, 0.25223)
      ( 2,  8, 0.31515)
      ( 2,  9, 0.69174)
      ( 2, 12, 0.07666)
      ( 2, 14, 0.72650)
      ( 2, 16, 0.01565)
      ( 2, 17, 0.79970)
      ( 2, 18, 0.47481)
      ( 2, 19, 0.18967)
      ( 2, 20, 0.04424)
      ( 2, 22, 0.35735)
      ( 2, 23, 0.42942)
      ( 2, 24, 0.08603)
      ( 2, 25, 0.17646)
      ( 2, 26, 0.32615)
      ( 2, 27, 0.77508)
      ( 2, 28, 0.36406)
      ( 2, 36, 0.63304)
      ( 2, 37, 0.10672)
      ( 2, 38, 0.83367)
      ( 2, 44, 0.30120)
      ( 2, 48, 0.58628)
      ( 2, 51, 0.69488)
      ( 2, 52, 0.08821)
      ( 2, 54, 0.16897)
      ( 2, 55, 0.50572)
      ( 2, 56, 0.35488)
      ( 2, 57, 0.88054)
      ( 2, 58, 0.51829)
      ( 2, 59, 0.53624)
      ( 2, 61, 0.88323)
      ( 2, 65, 0.76634)
      ( 2, 69, 0.97371)
      ( 2, 70, 0.53607)
      ( 2, 73, 0.73463)
      ( 2, 74, 0.24166)
      ( 2, 75, 0.50507)
      ( 2, 76, 0.51488)
      ( 2, 77, 0.72236)
      ( 2, 80, 0.97416)
      ( 2, 85, 0.55355)
      ( 2, 87, 0.52716)
      ( 2, 89, 0.84093)
      ( 2, 90, 0.23799)
      ( 2, 91, 0.25351)
      ( 2, 93, 0.96779)
      ( 2, 95, 0.54197)
      ( 2, 96, 0.00828)
      ( 2, 98, 0.98146)
      ( 2, 99, 0.87879)
      ( 2, 100, 0.50352)
      ( 2, 102, 0.15067)
      ( 2, 104, 0.68482)
      ( 2, 105, 0.92204)
      ( 2, 106, 0.73282)
      ( 2, 109, 0.11952)
      ( 2, 114, 0.01557)
      ( 2, 115, 0.62969)
      ( 2, 116, 0.99440)
      ( 2, 117, 0.88768)
      ( 2, 122, 0.84421)
