1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 2000
(u, v) E = { 
      ( 0, 20, 0.81402)
      ( 0, 109, 0.82023)
      ( 0, 171, 0.45061)
      ( 0, 238, 0.41999)
      ( 0, 347, 0.20238)
      ( 0, 471, 0.83001)
      ( 0, 559, 0.95292)
      ( 0, 674, 0.41005)
      ( 0, 1009, 0.83955)
      ( 0, 1038, 0.92027)
      ( 0, 1132, 0.35691)
      ( 0, 1138, 0.28478)
      ( 0, 1356, 0.22819)
      ( 0, 1524, 0.10639)
      ( 0, 1549, 0.42881)
      ( 0, 1719, 0.78054)
      ( 0, 1921, 0.35319)
      ( 0, 1998, 0.12506)
      ( 1, 25, 0.17725)
      ( 1, 38, 0.34691)
      ( 1, 113, 0.55437)
      ( 1, 228, 0.26150)
      ( 1, 293, 0.98190)
      ( 1, 320, 0.04401)
      ( 1, 434, 0.87399)
      ( 1, 792, 0.45115)
      ( 1, 817, 0.88734)
      ( 1, 845, 0.48372)
      ( 1, 954, 0.61534)
      ( 1, 978, 0.80007)
      ( 1, 1325, 0.61398)
      ( 1, 1418, 0.87274)
      ( 1, 1423, 0.88019)
      ( 1, 1456, 0.53245)
      ( 1, 1711, 0.88292)
      ( 1, 1738, 0.66374)
      ( 1, 1746, 0.44659)
      ( 1, 1976, 0.86084)
      ( 2, 91, 0.25965)
      ( 2, 286, 0.42346)
      ( 2, 394, 0.72916)
      ( 2, 398, 0.78446)
      ( 2, 471, 0.16309)
      ( 2, 704, 0.34235)
      ( 2, 986, 0.15507)
      ( 2, 1004, 0.80913)
      ( 2, 1046, 0.59400)
      ( 2, 1296, 0.00669)
      ( 2, 1327, 0.50488)
      ( 2, 1386, 0.84462)
      ( 2, 1468, 0.63540)
      ( 2, 1639, 0.19957)
      ( 2, 1975, 0.31961)
      ( 3, 312, 0.84286)
      ( 3, 354, 0.32852)
      ( 3, 592, 0.16163)
      ( 3, 789, 0.92385)
      ( 3, 919, 0.46638)
      ( 3, 940, 0.91938)
      ( 3, 1143, 0.32921)
      ( 3, 1249, 0.20503)
      ( 3, 1274, 0.48855)
      ( 3, 1283, 0.74346)
      ( 3, 1297, 0.20635)
      ( 3, 1305, 0.29213)
      ( 3, 1368, 0.43484)
      ( 3, 1371, 0.28403)
      ( 3, 1389, 0.50451)
      ( 3, 1540, 0.10048)
      ( 3, 1544, 0.06682)
      ( 4, 388, 0.99709)
      ( 4, 399, 0.07704)
      ( 4, 435, 0.20425)
      ( 4, 622, 0.63034)
      ( 4, 628, 0.78304)
      ( 4, 763, 0.78793)
      ( 4, 892, 0.51408)
      ( 4, 967, 0.66728)
      ( 4, 1054, 0.05917)
      ( 4, 1167, 0.74113)
      ( 4, 1370, 0.13536)
      ( 4, 1491, 0.59582)
      ( 4, 1552, 0.90681)
      ( 4, 1591, 0.88639)
      ( 4, 1802, 0.75848)
      ( 4, 1841, 0.07032)
      ( 5, 33, 0.41182)
      ( 5, 41, 0.63887)
      ( 5, 191, 0.98519)
      ( 5, 232, 0.07953)
      ( 5, 300, 0.32702)
      ( 5, 625, 0.65116)
      ( 5, 774, 0.07899)
      ( 5, 865, 0.86825)
      ( 5, 1012, 0.82157)
      ( 5, 1389, 0.59285)
      ( 5, 1419, 0.23294)
      ( 5, 1571, 0.07757)
      ( 5, 1573, 0.47623)
      ( 5, 1768, 0.99096)
      ( 5, 1830, 0.40804)
      ( 5, 1965, 0.78688)
      ( 5, 1973, 0.61025)
      ( 5, 1975, 0.04257)
      ( 5, 1987, 0.42861)
      ( 6, 70, 0.59835)
      ( 6, 127, 0.36210)
      ( 6, 165, 0.93474)
      ( 6, 324, 0.99846)
      ( 6, 575, 0.57584)
      ( 6, 755, 0.46626)
      ( 6, 828, 0.71750)
      ( 6, 894, 0.88656)
      ( 6, 956, 0.34545)
      ( 6, 979, 0.01451)
      ( 6, 1157, 0.85045)
      ( 6, 1359, 0.65508)
      ( 6, 1485, 0.56421)
      ( 6, 1498, 0.15161)
      ( 6, 1547, 0.19097)
      ( 6, 1618, 0.37501)
      ( 6, 1630, 0.88656)
      ( 6, 1666, 0.24124)
      ( 6, 1668, 0.87470)
      ( 6, 1688, 0.91342)
      ( 6, 1752, 0.45171)
      ( 6, 1785, 0.83513)
      ( 6, 1835, 0.56378)
      ( 7, 103, 0.86265)
      ( 7, 201, 0.21784)
      ( 7, 298, 0.33675)
      ( 7, 420, 0.27079)
      ( 7, 542, 0.67429)
      ( 7, 825, 0.91473)
      ( 7, 950, 0.06064)
      ( 7, 1064, 0.77527)
      ( 7, 1100, 0.74749)
      ( 7, 1202, 0.52144)
      ( 7, 1211, 0.83122)
      ( 7, 1415, 0.92313)
      ( 7, 1837, 0.90941)
      ( 7, 1860, 0.65913)
      ( 7, 1865, 0.66260)
      ( 7, 1976, 0.74404)
      ( 8,  4, 0.68386)
      ( 8, 30, 0.40309)
      ( 8, 175, 0.50855)
      ( 8, 395, 0.12183)
      ( 8, 413, 0.06924)
      ( 8, 519, 0.20350)
      ( 8, 628, 0.71332)
      ( 8, 737, 0.77792)
      ( 8, 781, 0.41839)
      ( 8, 810, 0.33293)
      ( 8, 915, 0.22368)
      ( 8, 956, 0.09354)
      ( 8, 1034, 0.98256)
      ( 8, 1166, 0.63944)
      ( 8, 1238, 0.40153)
      ( 8, 1394, 0.76058)
      ( 8, 1449, 0.97312)
      ( 8, 1714, 0.52196)
      ( 8, 1734, 0.92190)
      ( 8, 1805, 0.92139)
      ( 9, 325, 0.35774)
      ( 9, 470, 0.02491)
      ( 9, 631, 0.53857)
      ( 9, 915, 0.59015)
      ( 9, 927, 0.63065)
      ( 9, 968, 0.25036)
      ( 9, 1084, 0.23646)
      ( 9, 1097, 0.54868)
      ( 9, 1122, 0.47986)
      ( 9, 1198, 0.15664)
      ( 9, 1216, 0.25648)
      ( 9, 1272, 0.82543)
      ( 9, 1361, 0.48940)
      ( 9, 1551, 0.16440)
      ( 9, 1899, 0.42032)
      ( 9, 1928, 0.23920)
      (10, 67, 0.95941)
      (10, 174, 0.13798)
      (10, 313, 0.61334)
      (10, 665, 0.51920)
      (10, 745, 0.91332)
      (10, 995, 0.04516)
      (10, 1000, 0.27235)
      (10, 1109, 0.05861)
      (10, 1253, 0.90708)
      (10, 1347, 0.68911)
      (10, 1410, 0.01434)
      (10, 1547, 0.93766)
      (10, 1770, 0.18613)
      (10, 1852, 0.35812)
      (10, 1886, 0.16501)
      (10, 1997, 0.50773)
      (11, 12, 0.50968)
      (11, 62, 0.31446)
      (11, 100, 0.32469)
      (11, 146, 0.45432)
      (11, 248, 0.36853)
      (11, 264, 0.86467)
      (11, 735, 0.63670)
      (11, 755, 0.22704)
      (11, 783, 0.16338)
      (11, 894, 0.42264)
      (11, 895, 0.17282)
      (11, 923, 0.94176)
      (11, 1129, 0.79259)
      (11, 1240, 0.40901)
      (11, 1283, 0.20520)
      (11, 1545, 0.44150)
      (11, 1587, 0.21403)
      (11, 1700, 0.77105)
      (11, 1759, 0.73315)
      (11, 1827, 0.97282)
      (12, 446, 0.75751)
      (12, 543, 0.09009)
      (12, 789, 0.89568)
      (12, 804, 0.12941)
      (12, 907, 0.46568)
      (12, 961, 0.78290)
      (12, 1310, 0.98154)
      (12, 1371, 0.59306)
      (12, 1453, 0.41202)
      (12, 1454, 0.89337)
      (12, 1904, 0.04723)
      (12, 1907, 0.09660)
      (12, 1929, 0.31538)
      (12, 1951, 0.14750)
      (13, 59, 0.09952)
      (13, 73, 0.99929)
      (13, 226, 0.21783)
      (13, 232, 0.22003)
      (13, 339, 0.09187)
      (13, 342, 0.11395)
      (13, 941, 0.51717)
      (13, 1228, 0.19381)
      (13, 1243, 0.17660)
      (13, 1570, 0.29155)
      (13, 1613, 0.92788)
      (13, 1702, 0.21165)
      (13, 1916, 0.85898)
      (13, 1970, 0.74369)
      (14, 480, 0.36934)
      (14, 677, 0.57677)
      (14, 701, 0.00035)
      (14, 810, 0.90264)
      (14, 967, 0.71791)
      (14, 981, 0.04435)
      (14, 1171, 0.97284)
      (14, 1266, 0.44229)
      (14, 1396, 0.12049)
      (14, 1400, 0.26177)
      (14, 1530, 0.29164)
      (14, 1598, 0.54329)
      (14, 1680, 0.55659)
      (14, 1739, 0.28099)
      (14, 1980, 0.20879)
      (15, 48, 0.91728)
      (15, 107, 0.24230)
      (15, 166, 0.17106)
      (15, 397, 0.82986)
      (15, 446, 0.04111)
      (15, 537, 0.12221)
      (15, 562, 0.71324)
      (15, 659, 0.37200)
      (15, 771, 0.34144)
      (15, 785, 0.61726)
      (15, 801, 0.78986)
      (15, 982, 0.68536)
      (15, 1106, 0.18942)
      (15, 1242, 0.78394)
      (15, 1279, 0.65135)
      (15, 1368, 0.28465)
      (15, 1537, 0.29822)
      (15, 1600, 0.24690)
      (15, 1612, 0.34274)
      (15, 1852, 0.38154)
      (15, 1886, 0.51247)
      (16, 45, 0.23769)
      (16, 100, 0.69127)
      (16, 179, 0.51536)
      (16, 199, 0.53862)
      (16, 280, 0.82877)
      (16, 323, 0.93434)
      (16, 365, 0.96748)
