20 flow networks in flowNetworks1.txt.

** G1: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 0,  3,  53)
      ( 1,  2,   1)
      ( 2,  1,  46)
      ( 2,  5,   3)
      ( 3,  4,  43)
      ( 3,  5,  18)
      ( 4,  1,  20)
      ( 4,  3,  80) }
------------------------- 

** G2: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 0,  1,  65)
      ( 0,  2,  91)
      ( 0,  3,  47)
      ( 1,  2,  71)
      ( 2,  4,   5)
      ( 2,  5,  17)
      ( 4,  2,  45) }
------------------------- 

** G3: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 0,  2,  59)
      ( 0,  3,  34)
      ( 0,  4,  15)
      ( 0,  5,  97)
      ( 1,  2,  73)
      ( 2,  1,  17)
      ( 2,  3,  42)
      ( 3,  2,  95)
      ( 3,  5,  36) }
------------------------- 

** G4: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 0,  1,  48)
      ( 0,  3,  96)
      ( 1,  2,   8)
      ( 1,  5,  37)
      ( 2,  4,  57)
      ( 2,  5,  83)
      ( 3,  1,  48)
      ( 3,  4,   4)
      ( 3,  5,  87)
      ( 4,  2,  90)
      ( 4,  5,  56) }
------------------------- 

** G5: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 0,  1,  51)
      ( 0,  3,  86)
      ( 0,  4,  14)
      ( 0,  5,  92)
      ( 3,  1,  75)
      ( 3,  2,  50)
      ( 4,  1,  22)
      ( 4,  2,  39)
      ( 4,  5,  52) }
------------------------- 

** G6: |V|=10, V={0..9}
(u, v, weight) E = { 
      ( 0,  1,  58)
      ( 0,  3,  37)
      ( 0,  6,  12)
      ( 0,  9,  51)
      ( 1,  3,  93)
      ( 1,  4,  88)
      ( 1,  9,  15)
      ( 2,  3,  25)
      ( 2,  9,  20)
      ( 3,  2,  29)
      ( 3,  5,  11)
      ( 3,  7,  59)
      ( 4,  5,   8)
      ( 4,  6,  23)
      ( 4,  8,   6)
      ( 5,  7,  42)
      ( 6,  3,   5)
      ( 6,  4,  95)
      ( 6,  7,  71)
      ( 6,  8,  53)
      ( 6,  9,  17)
      ( 7,  1,  44)
      ( 7,  2,  80)
      ( 7,  3,  40)
      ( 7,  5,  26)
      ( 7,  9,  21)
      ( 8,  2,  20)
      ( 8,  5,  69)
      ( 8,  9,  40) }
------------------------- 

** G7: |V|=10, V={0..9}
(u, v, weight) E = { 
      ( 0,  6,  69)
      ( 0,  7,  43)
      ( 0,  8,  62)
      ( 1,  2,  70)
      ( 1,  4,  86)
      ( 1,  5,  20)
      ( 1,  9,  64)
      ( 2,  1,  42)
      ( 2,  3,  44)
      ( 2,  5,   2)
      ( 2,  8,  34)
      ( 3,  2,  11)
      ( 3,  4,  69)
      ( 3,  9,  84)
      ( 4,  2,  18)
      ( 5,  1,  34)
      ( 5,  3,  13)
      ( 5,  4,  80)
      ( 5,  6,   9)
      ( 5,  7,  18)
      ( 5,  8,  55)
      ( 5,  9,  55)
      ( 6,  4,  82)
      ( 6,  9,  78)
      ( 7,  2,  33)
      ( 7,  3,  40)
      ( 7,  4,  90)
      ( 7,  9,  94)
      ( 8,  1,  38)
      ( 8,  3,  28)
      ( 8,  5,  52)
      ( 8,  6,  88) }
------------------------- 

** G8: |V|=10, V={0..9}
(u, v, weight) E = { 
      ( 0,  5,  55)
      ( 0,  6,  72)
      ( 1,  3,   2)
      ( 1,  5,  44)
      ( 2,  1,  29)
      ( 2,  9,   8)
      ( 3,  2,  73)
      ( 3,  8,  73)
      ( 3,  9,  86)
      ( 4,  5,  78)
      ( 4,  8,  83)
      ( 5,  4,  26)
      ( 5,  6,  79)
      ( 5,  8,  72)
      ( 5,  9,  90)
      ( 6,  1,  73)
      ( 6,  2,  11)
      ( 6,  5,  57)
      ( 6,  7,  55)
      ( 7,  1,  52)
      ( 7,  2,  80)
      ( 7,  8,  56)
      ( 8,  1,   1)
      ( 8,  3,  89)
      ( 8,  7,  10)
      ( 8,  9,  10) }
------------------------- 

** G9: |V|=10, V={0..9}
(u, v, weight) E = { 
      ( 0,  1,  45)
      ( 0,  2,  75)
      ( 0,  4,  10)
      ( 0,  5,  96)
      ( 1,  2,  41)
      ( 1,  4,  57)
      ( 1,  5,  14)
      ( 1,  6,  39)
      ( 2,  3,   5)
      ( 2,  4,  82)
      ( 2,  6,  89)
