20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      ( 0,  2, 0.658)
      ( 0,  5, 0.006)
      ( 0,  7, 0.880)
      ( 0,  8, 0.426)
      ( 0,  9, 0.064)
      ( 1,  2, 0.505)
      ( 1,  4, 0.336)
      ( 1,  5, 0.848)
      ( 1,  6, 0.344)
      ( 1,  7, 0.020)
      ( 1,  9, 0.505)
      ( 2,  4, 0.022)
      ( 2,  6, 0.342)
      ( 2,  8, 0.061)
      ( 2,  9, 0.101)
      ( 3,  8, 0.173)
      ( 4,  5, 0.375)
      ( 4,  7, 0.578)
      ( 4,  9, 0.813)
      ( 5,  7, 0.852)
      ( 5,  8, 0.377)
      ( 5,  9, 0.645)
      ( 6,  9, 0.512)
      ( 7,  8, 0.616) }
---------------- 

** G2: |V|=20  V={0,1,...,19}
(u, v, w) E = { 
      ( 0,  1, 0.258)
      ( 0,  3, 0.041)
      ( 0,  4, 0.624)
      ( 0,  6, 0.606)
      ( 0, 13, 0.960)
      ( 0, 14, 0.560)
      ( 0, 15, 0.756)
      ( 0, 18, 0.919)
      ( 0, 19, 0.428)
      ( 1,  2, 0.007)
      ( 1,  3, 0.191)
      ( 1,  4, 0.575)
      ( 1,  7, 0.747)
      ( 1,  8, 0.676)
      ( 1,  9, 0.953)
      ( 1, 12, 0.977)
      ( 1, 14, 0.689)
      ( 1, 15, 0.425)
      ( 1, 16, 0.116)
      ( 1, 19, 0.940)
      ( 2,  3, 0.083)
      ( 2,  4, 0.617)
      ( 2,  6, 0.887)
      ( 2,  7, 0.458)
      ( 2,  8, 0.784)
      ( 2, 11, 0.781)
      ( 2, 13, 0.600)
      ( 2, 14, 0.495)
      ( 2, 15, 0.244)
      ( 2, 16, 0.580)
      ( 2, 19, 0.454)
      ( 3,  4, 0.515)
      ( 3,  6, 0.631)
      ( 3,  7, 0.453)
      ( 3,  8, 0.997)
      ( 3,  9, 0.601)
      ( 3, 10, 0.679)
      ( 3, 11, 0.267)
      ( 3, 13, 0.050)
      ( 3, 15, 0.030)
      ( 3, 16, 0.818)
      ( 3, 18, 0.525)
      ( 3, 19, 0.934)
      ( 4,  6, 0.887)
      ( 4, 13, 0.463)
      ( 4, 14, 0.218)
      ( 4, 16, 0.663)
      ( 4, 17, 0.852)
      ( 4, 19, 0.721)
      ( 5, 13, 0.195)
      ( 6,  7, 0.983)
      ( 6,  9, 0.608)
      ( 6, 11, 0.212)
      ( 6, 12, 0.006)
      ( 6, 14, 0.000)
      ( 6, 16, 0.392)
      ( 6, 17, 0.121)
      ( 6, 18, 0.532)
      ( 7,  9, 0.423)
      ( 7, 11, 0.126)
      ( 7, 12, 0.094)
      ( 7, 13, 0.355)
      ( 7, 14, 0.350)
      ( 7, 17, 0.174)
      ( 7, 18, 0.083)
      ( 8,  9, 0.759)
      ( 8, 12, 0.927)
      ( 8, 13, 0.248)
      ( 8, 15, 0.814)
      ( 8, 16, 0.437)
      ( 8, 17, 0.105)
      ( 9, 10, 0.195)
      ( 9, 16, 0.080)
      ( 9, 17, 0.467)
      ( 9, 18, 0.232)
      ( 9, 19, 0.379)
      (10, 11, 0.707)
      (10, 15, 0.916)
      (10, 16, 0.160)
      (10, 19, 0.188)
      (11, 12, 0.642)
      (11, 13, 0.423)
      (11, 14, 0.114)
      (11, 16, 0.729)
      (11, 18, 0.304)
      (12, 13, 0.501)
      (12, 15, 0.599)
      (12, 16, 0.134)
      (12, 17, 0.006)
      (12, 18, 0.873)
      (12, 19, 0.219)
      (13, 14, 0.031)
      (13, 16, 0.016)
      (13, 18, 0.044)
      (13, 19, 0.390)
      (14, 16, 0.622)
      (14, 18, 0.550)
      (14, 19, 0.518)
      (15, 18, 0.596)
      (16, 17, 0.513)
      (16, 19, 0.808) }
---------------- 
