20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      ( 0,  2, 0.658)
      ( 0,  5, 0.006)
      ( 0,  7, 0.880)
      ( 0,  8, 0.426)
      ( 0,  9, 0.064)
      ( 1,  2, 0.505)
      ( 1,  4, 0.336)
      ( 1,  5, 0.848)
      ( 1,  6, 0.344)
      ( 1,  7, 0.020)
      ( 1,  9, 0.505)
      ( 2,  4, 0.022)
      ( 2,  6, 0.342)
      ( 2,  8, 0.061)
      ( 2,  9, 0.101)
      ( 3,  8, 0.173)
      ( 4,  5, 0.375)
      ( 4,  7, 0.578)
      ( 4,  9, 0.813)
      ( 5,  7, 0.852)
      ( 5,  8, 0.377)
      ( 5,  9, 0.645)
      ( 6,  9, 0.512)
      ( 7,  8, 0.616) }
---------------- 

** G2: |V|=20  V={0,1,...,19}
(u, v, w) E = { 
      ( 0,  1, 0.258)
      ( 0,  3, 0.041)
      ( 0,  4, 0.624)
      ( 0,  6, 0.606)
      ( 0, 13, 0.960)
      ( 0, 14, 0.560)
      ( 0, 15, 0.756)
      ( 0, 18, 0.919)
      ( 0, 19, 0.428)
      ( 1,  2, 0.007)
      ( 1,  3, 0.191)
      ( 1,  4, 0.575)
      ( 1,  7, 0.747)
      ( 1,  8, 0.676)
      ( 1,  9, 0.953)
      ( 1, 12, 0.977)
      ( 1, 14, 0.689)
      ( 1, 15, 0.425)
      ( 1, 16, 0.116)
      ( 1, 19, 0.940)
      ( 2,  3, 0.083)
      ( 2,  4, 0.617)
      ( 2,  6, 0.887)
      ( 2,  7, 0.458)
      ( 2,  8, 0.784)
      ( 2, 11, 0.781)
      ( 2, 13, 0.600)
      ( 2, 14, 0.495)
      ( 2, 15, 0.244)
      ( 2, 16, 0.580)
      ( 2, 19, 0.454)
      ( 3,  4, 0.515)
      ( 3,  6, 0.631)
      ( 3,  7, 0.453)
      ( 3,  8, 0.997)
      ( 3,  9, 0.601)
      ( 3, 10, 0.679)
      ( 3, 11, 0.267)
      ( 3, 13, 0.050)
      ( 3, 15, 0.030)
      ( 3, 16, 0.818)
      ( 3, 18, 0.525)
      ( 3, 19, 0.934)
      ( 4,  6, 0.887)
      ( 4, 13, 0.463)
      ( 4, 14, 0.218)
      ( 4, 16, 0.663)
      ( 4, 17, 0.852)
      ( 4, 19, 0.721)
      ( 5, 13, 0.195)
      ( 6,  7, 0.983)
      ( 6,  9, 0.608)
      ( 6, 11, 0.212)
      ( 6, 12, 0.006)
      ( 6, 14, 0.000)
      ( 6, 16, 0.392)
      ( 6, 17, 0.121)
      ( 6, 18, 0.532)
      ( 7,  9, 0.423)
      ( 7, 11, 0.126)
      ( 7, 12, 0.094)
      ( 7, 13, 0.355)
      ( 7, 14, 0.350)
      ( 7, 17, 0.174)
      ( 7, 18, 0.083)
      ( 8,  9, 0.759)
      ( 8, 12, 0.927)
      ( 8, 13, 0.248)
      ( 8, 15, 0.814)
      ( 8, 16, 0.437)
      ( 8, 17, 0.105)
      ( 9, 10, 0.195)
      ( 9, 16, 0.080)
      ( 9, 17, 0.467)
      ( 9, 18, 0.232)
      ( 9, 19, 0.379)
      (10, 11, 0.707)
      (10, 15, 0.916)
      (10, 16, 0.160)
      (10, 19, 0.188)
      (11, 12, 0.642)
      (11, 13, 0.423)
      (11, 14, 0.114)
      (11, 16, 0.729)
      (11, 18, 0.304)
      (12, 13, 0.501)
      (12, 15, 0.599)
      (12, 16, 0.134)
      (12, 17, 0.006)
      (12, 18, 0.873)
      (12, 19, 0.219)
      (13, 14, 0.031)
      (13, 16, 0.016)
      (13, 18, 0.044)
      (13, 19, 0.390)
      (14, 16, 0.622)
      (14, 18, 0.550)
      (14, 19, 0.518)
      (15, 18, 0.596)
      (16, 17, 0.513)
      (16, 19, 0.808) }
---------------- 

** G3: |V|=30  V={0,1,...,29}
(u, v, w) E = { 
      ( 0,  1, 0.854)
      ( 0,  3, 0.765)
      ( 0,  7, 0.844)
      ( 0,  8, 0.369)
      ( 0,  9, 0.063)
      ( 0, 11, 0.617)
      ( 0, 12, 0.114)
      ( 0, 13, 0.517)
      ( 0, 14, 0.307)
      ( 0, 15, 0.845)
      ( 0, 16, 0.066)
      ( 0, 18, 0.147)
      ( 0, 19, 0.368)
      ( 0, 20, 0.813)
      ( 0, 25, 0.502)
      ( 0, 27, 0.241)
      ( 0, 29, 0.370)
      ( 1,  2, 0.937)
      ( 1,  4, 0.014)
      ( 1,  7, 0.665)
      ( 1,  8, 0.427)
      ( 1,  9, 0.057)
      ( 1, 10, 0.103)
      ( 1, 11, 0.543)
      ( 1, 12, 0.139)
      ( 1, 16, 0.401)
      ( 1, 17, 0.129)
      ( 1, 18, 0.605)
      ( 1, 19, 0.094)
      ( 1, 20, 0.081)
      ( 1, 24, 0.374)
      ( 1, 25, 0.657)
      ( 1, 27, 0.818)
      ( 1, 28, 0.321)
      ( 2,  4, 0.943)
      ( 2,  6, 0.423)
      ( 2,  7, 0.413)
      ( 2,  8, 0.750)
      ( 2,  9, 0.658)
      ( 2, 11, 0.344)
      ( 2, 12, 0.475)
      ( 2, 13, 0.950)
      ( 2, 15, 0.587)
      ( 2, 19, 0.568)
      ( 2, 21, 0.733)
      ( 2, 23, 0.108)
      ( 2, 25, 0.340)
      ( 2, 26, 0.313)
      ( 3,  4, 0.267)
      ( 3,  5, 0.068)
      ( 3,  6, 0.844)
      ( 3,  7, 0.944)
      ( 3,  8, 0.073)
      ( 3,  9, 0.292)
      ( 3, 11, 0.821)
      ( 3, 12, 0.629)
      ( 3, 13, 0.230)
      ( 3, 14, 0.230)
      ( 3, 18, 0.862)
      ( 3, 21, 0.185)
      ( 3, 25, 0.900)
      ( 3, 26, 0.414)
      ( 3, 27, 0.565)
      ( 3, 28, 0.780)
      ( 4,  7, 0.916)
      ( 4,  8, 0.112)
      ( 4, 10, 0.913)
      ( 4, 11, 0.489)
      ( 4, 12, 0.780)
      ( 4, 14, 0.755)
      ( 4, 17, 0.732)
      ( 4, 19, 0.301)
      ( 4, 21, 0.471)
      ( 4, 25, 0.455)
      ( 4, 26, 0.828)
      ( 4, 27, 0.079)
      ( 4, 28, 0.582)
      ( 5,  6, 0.866)
      ( 5,  9, 0.131)
      ( 5, 11, 0.136)
      ( 5, 13, 0.957)
      ( 5, 14, 0.292)
      ( 5, 15, 0.981)
      ( 5, 16, 0.556)
      ( 5, 17, 0.181)
      ( 5, 19, 0.439)
      ( 5, 20, 0.516)
      ( 5, 21, 0.118)
      ( 5, 23, 0.984)
      ( 5, 25, 0.470)
      ( 5, 26, 0.954)
      ( 5, 27, 0.687)
      ( 5, 28, 0.856)
      ( 5, 29, 0.019)
      ( 6,  7, 0.469)
      ( 6,  8, 0.261)
      ( 6, 11, 0.975)
      ( 6, 12, 0.663)
      ( 6, 13, 0.264)
      ( 6, 16, 0.412)
      ( 6, 18, 0.808)
      ( 6, 21, 0.937)
      ( 6, 24, 0.379)
      ( 6, 27, 0.743)
      ( 6, 28, 0.627)
      ( 7,  8, 0.351)
      ( 7,  9, 0.781)
      ( 7, 10, 0.105)
      ( 7, 11, 0.516)
      ( 7, 12, 0.028)
      ( 7, 14, 0.260)
      ( 7, 16, 0.762)
      ( 7, 17, 0.379)
      ( 7, 18, 0.508)
      ( 7, 19, 0.708)
      ( 7, 20, 0.374)
      ( 7, 21, 0.843)
      ( 7, 23, 0.015)
      ( 7, 25, 0.433)
      ( 7, 27, 0.669)
      ( 8, 10, 0.967)
      ( 8, 11, 0.941)
      ( 8, 12, 0.263)
      ( 8, 15, 0.936)
      ( 8, 16, 0.109)
      ( 8, 17, 0.626)
      ( 8, 19, 0.304)
      ( 8, 24, 0.026)
      ( 8, 26, 0.368)
      ( 8, 27, 0.533)
      ( 8, 29, 0.435)
      ( 9, 12, 0.350)
      ( 9, 14, 0.552)
      ( 9, 15, 0.814)
      ( 9, 17, 0.750)
      ( 9, 19, 0.524)
      ( 9, 23, 0.706)
      ( 9, 25, 0.834)
      ( 9, 26, 0.446)
      ( 9, 27, 0.644)
      (10, 13, 0.882)
      (10, 15, 0.668)
      (10, 17, 0.874)
      (10, 18, 0.896)
      (10, 20, 0.938)
      (10, 23, 0.753)
      (10, 24, 0.789)
      (10, 25, 0.127)
      (10, 26, 0.870)
      (10, 27, 0.861)
      (10, 28, 0.123)
      (11, 12, 0.254)
      (11, 13, 0.384)
      (11, 15, 0.294)
      (11, 16, 0.995)
      (11, 18, 0.908)
      (11, 19, 0.142)
      (11, 20, 0.743)
      (11, 23, 0.027)
      (11, 24, 0.491)
      (11, 26, 0.415)
      (11, 27, 0.578)
      (11, 28, 0.470)
      (12, 13, 0.921)
      (12, 18, 0.657)
      (12, 28, 0.406)
      (12, 29, 0.065)
      (13, 14, 0.685)
      (13, 15, 0.875)
      (13, 16, 0.621)
      (13, 18, 0.073)
